Name;Type;Units  or  mass;Status;Launched;NORAD  ID;Deployer;Launcher;Organisation;Institution;Entity;Nation;Manufacturer;Operator;Launch  brokerer;Costs;Oneliner;Failure  cause;Keywords;Images
TUBSAT-N;Nanosatellite;8.5  kg;Reentry  2002-04-22.  Was  operational  until  2000-XX-XX.  More  than  two  years  of  operation.;1998-07-07;25389;Custom;Shtil;Technische  Universität  Berlin  ;University;Academic  /  Education;Germany;?;?;Unknown;?;Store  and  forward  communication.;?;?;['https://dl.airtable.com/tmIbFYPASASTaaOTUb9H_tubsat-n__1.jpg']
TUBSAT-N1;Nanosatellite;3  kg;Reentry  2000-10-20.  Was  operational  until  1999-XX-XX.  About  1  year  operation.;1998-07-07;25390;Custom;Shtil;Technische  Universität  Berlin;University;Academic  /  Education;Germany;?;?;Unknown;?;Store  and  forward  communication.;?;?;['https://dl.airtable.com/tleKH0ZoRuSsUrov1Bwc_tubsat-n1__1.jpg']
Artemis  JAK  (MASat,  Picosat  5);Picosatellite;0.2  kg;No  signal;2000-01-27;26093;OPAL;Minotaur  I;Santa  Clara  University;University;Academic  /  Education;US;?;?;?;?;Simple  beacon  transmitter.;?;?;['https://dl.airtable.com/WkurOHzaQ0WaeJf9mmGm_Artemis%20JAK.jpg']
Artemis  Louise  (Lightning,  Picosat  8);Picosatellite;0.895  kg;No  signal;2000-01-27;26092;OPAL;Minotaur  I;Santa  Clara  University;University;Academic  /  Education;US;?;?;?;?;Research  the  effects  of  lightning  on  the  outer  ionosphere.  ;?;?;['https://dl.airtable.com/AXZimCiNSoW8SUnWIiwH_Artemis%20Thelma%2C%20Louise%2C%20JAK.jpg']
Artemis  Thelma  (Thunder,  Picosat  7);Picosatellite;0.6  kg;No  signal;2000-01-27;26091;OPAL;Minotaur  I;Santa  Clara  University;University;Academic  /  Education;US;?;?;?;?;Research  the  effects  of  lightning  on  the  outer  ionosphere.  ;?;?;['https://dl.airtable.com/AXZimCiNSoW8SUnWIiwH_Artemis%20Thelma%2C%20Louise%2C%20JAK.jpg']
ASUSat  1  (Arizona  State  University  Satellite);Nanosatellite;6  kg;Was  operational  until  2000-01-28.  14  hours.  ;2000-01-27;26065;Custom;Minotaur  I;Arizona  State  University;University;Academic  /  Education;US;?;?;?;?;Educational  space  systems  engineering  and  Earth  imaging.;Problem  in  power  system  prevented  the  solar  arrays  from  supplying  power.;?;['https://dl.airtable.com/9v5YgjjYRyGsjN4iq8AF_ASUSat-1.png']
MEMS  (PICOSAT);Picosatellite;0.275  kg;?;?;?;?;?;DARPA;Military;Government  (Civil  /  Military);US;AIVT  by  Aerospace  Corp;Aerospace  Corp;?;?;Demonstrate  the  basic  functional  elements  of  a  low-power  LEO  “swarm”  or  formation  PICOSAT  array.;?;Tether;['https://dl.airtable.com/swt2J39Tuu6bL0fiPa4w_PicoSats.png']
MEMS  (PICOSAT);Picosatellite;0.275  kg;?;?;?;?;?;DARPA;Military;Government  (Civil  /  Military);US;AIVT  by  Aerospace  Corp;Aerospace  Corp;?;?;Demonstrate  the  basic  functional  elements  of  a  low-power  LEO  “swarm”  or  formation  PICOSAT  array.;?;Tether;['https://dl.airtable.com/swt2J39Tuu6bL0fiPa4w_PicoSats.png']
StenSat  (Picosat  6);Picosatellite;0.2  kg;No  signal;2000-01-27;26094;OPAL;Minotaur  I;Stensat  Group;Company;Commercial;US;?;?;?;?;Voice  repeater  for  amateur  radio  operators.;?;?;['https://dl.airtable.com/eVmVtMZnQcaDjq7Pl1RZ_StenSat.jpg']
MEMS  (PICOSAT);Picosatellite;0.275  kg;?;?;?;?;?;DARPA;Military;Government  (Civil  /  Military);US;AIVT  by  Aerospace  Corp;Aerospace  Corp;?;?;Demonstrate  the  basic  functional  elements  of  a  low-power  LEO  “swarm”  or  formation  PICOSAT  array.;?;Tether;['https://dl.airtable.com/swt2J39Tuu6bL0fiPa4w_PicoSats.png']
MEMS  (PICOSAT);Picosatellite;0.275  kg;?;?;?;?;?;DARPA;Military;Government  (Civil  /  Military);US;AIVT  by  Aerospace  Corp;Aerospace  Corp;?;?;Demonstrate  the  basic  functional  elements  of  a  low-power  LEO  “swarm”  or  formation  PICOSAT  array.;?;Tether;['https://dl.airtable.com/swt2J39Tuu6bL0fiPa4w_PicoSats.png']
Munin;Nanosatellite;6  kg;Was  operational  until  2001-02-12.;2000-11-21;26621;Custom;Delta  II;Swedish  Institute  of  Space  Physics;Institute;Government  (Civil  /  Military);Sweden;?;?;?;?;Collect  data  on  auroral  activity  to  predict  space  weather.;Likely  to  boot  PROM  failure  after  manual  CPU  reset.;?;['https://dl.airtable.com/Il95yi4pSbyvvyI1hKWd_Munin.jpg']
MEPSI;CubeSat;1U;?;?;?;?;?;DARPA;Military;Government  (Civil  /  Military);US;?;?;?;?;Tethered  pair  to  demonstrate  the  capability  of  deploying  an  onboard  miniature  autonomous  inspector.;?;Tether,  Propulsion;['https://dl.airtable.com/9lsYDR2TStuOLRQ4S7jV_MEPSI-2.png',  'https://dl.airtable.com/.attachments/6f190ff2fcb12eaeb92c797412ef79c0/fd3be266/MEPSI-2AB_STS-116.jpg',  'https://dl.airtable.com/.attachments/02bca2182b378281076b675e971fb980/1d6da5d9/MEPSI-2AB.png']
MEPSI;CubeSat;1U;?;?;?;?;?;DARPA;Military;Government  (Civil  /  Military);US;?;?;?;?;Tethered  pair  to  demonstrate  the  capability  of  deploying  an  onboard  miniature  autonomous  inspector.;?;Tether,  Propulsion;['https://dl.airtable.com/9lsYDR2TStuOLRQ4S7jV_MEPSI-2.png',  'https://dl.airtable.com/.attachments/6f190ff2fcb12eaeb92c797412ef79c0/fd3be266/MEPSI-2AB_STS-116.jpg',  'https://dl.airtable.com/.attachments/02bca2182b378281076b675e971fb980/1d6da5d9/MEPSI-2AB.png']
AAUSAT  1  (AAU-CubeSat,  AAU  CubeSat);CubeSat;1U;Was  operational  until  2003-09-22.;2003-03-30;27846;P-POD  (Poly-Picosatellite  Orbital  Deployer);Rokot;Aalborg  University;University;Academic  /  Education;Denmark;?;?;Space  Flight  Laboratory  (UTIAS-SFL);?;Educational  space  systems  engineering  with  ADCS  and  imaging.;Battery  degradation  problems.;?;['https://dl.airtable.com/8EuSQ8IES82a1NmvvaU4_AAUcubesat.jpg']
CanX-1;CubeSat;1U;No  signal;2003-03-30;27847;P-POD  (Poly-Picosatellite  Orbital  Deployer);Rokot;Space  Flight  Laboratory;Institute;Government  (Civil  /  Military);Canada;?;?;Space  Flight  Laboratory  (UTIAS-SFL);?;Demonstrate  novel  technologies  for  ADCS.;?;?;['https://dl.airtable.com/KidcFkpzR0eOdDsTIsuQ_CanX-1.png']
CUTE-I  (Cubical  Tokyo  Tech  Engineering  Satellite-I);CubeSat;1U;Operational  (Last  SatNOGS  report  2019-05-23  checked  on  2019-05-24);2003-03-30;27844;P-POD  (Poly-Picosatellite  Orbital  Deployer);Rokot;Tokyo  Institute  of  Technology;University;Academic  /  Education;Japan;?;?;Space  Flight  Laboratory  (UTIAS-SFL);?;Communication  and  solar  panel  deployment.;?;?;['https://dl.airtable.com/w4peMNmRfGPf8Wg3JYtO_CUTE-I_FM_0530.jpg']
DTUSat-1;CubeSat;1U;No  signal;2003-03-30;27842;P-POD  (Poly-Picosatellite  Orbital  Deployer);Rokot;Technical  University  of  Denmark;University;Academic  /  Education;Denmark;?;?;Space  Flight  Laboratory  (UTIAS-SFL);?;Tether  deployment  to  test  deorbiting  method.;?;Tether,  De-orbit  device;['https://dl.airtable.com/aDyTpO05TEe3bb8k5Ldu_DTUSat.png']
